word,freq
"('and', 'it')",189
,
"('it', 'was')",296
,
"('was', 'the')",62
,
"('the', 'perfect')",63
,
"('perfect', 'seat')",1
,
"('seat', '')",13
,
"('', '')",9435
,
"('', 'First')",15
,
"('First', 'time')",14
,
"('time', 'coming')",2
,
"('coming', 'here')",33
,
"('here', 'I')",9
,
"('I', 'got')",79
,
"('got', 'the')",60
,
"('the', 'Thai')",1
,
"('Thai', 'Tea')",4
,
"('Tea', 'and')",1
,
"('and', 'my')",37
,
"('my', 'boyfriend')",6
,
"('boyfriend', 'got')",4
,
"('got', 'an')",4
,
"('an', 'iced')",37
,
"('iced', 'coffee')",68
,
"('coffee', 'with')",25
,
"('with', 'hazel')",1
,
"('hazel', 'nut')",1
,
"('nut', 'syrup')",1
,
"('syrup', '')",15
,
"('', 'The')",1206
,
"('The', 'coffee')",116
,
"('coffee', 'was')",67
,
"('was', 'very')",74
,
"('very', 'delicious')",1
,
"('delicious', 'and')",39
,
"('and', 'had')",23
,
"('had', 'the')",68
,
"('the', 'perfect')",63
,
"('perfect', 'amount')",7
,
"('amount', 'of')",46
,
"('of', 'syrup')",2
,
"('syrup', '')",15
,
"('', 'THE')",2
,
"('THE', 'THAI')",2
,
"('THAI', 'TEA')",2
,
"('TEA', 'THOUGH')",1
,
"('THOUGH', '')",1
,
"('', 'I')",2231
,
"('I', 've')",317
,
"('ve', 'never')",38
,
"('never', 'had')",20
,
"('had', 'thai')",1
,
"('thai', 'tea')",1
,
"('tea', 'that')",4
,
"('that', 'tasted')",1
,
"('tasted', 'as')",1
,
"('as', 'good')",18
,
"('good', 'as')",26
,
"('as', 'Monkey')",2
,
"('Monkey', 'Nest')",36
,
"('Nest', 'Cafe')",1
,
"('Cafe', 's')",1
,
"('s', '')",40
,
"('', 'Even')",19
,
"('Even', 'at')",1
,
"('at', 'boba')",1
,
"('boba', 'shops')",1
,
"('shops', 'they')",1
,
"('they', 'don')",21
,
"('don', 't')",225
,
"('t', 'have')",47
,
"('have', 'it')",9
,
"('it', 'this')",1
,
"('this', 'good')",5
,
"('good', '')",223
,
"('', 'The')",1206
,
"('The', 'tea')",7
,
"('tea', 'and')",15
,
"('and', 'the')",378
,
"('the', 'milk')",13
,
"('milk', 'ratio')",1
,
"('ratio', 'is')",2
,
"('is', 'perfect')",23
,
"('perfect', 'and')",5
,
"('and', 'the')",378
,
"('the', 'sweetness')",11
,
"('sweetness', 'is')",1
,
"('is', 'on')",14
,
"('on', 'point')",28
,
"('point', '')",32
,
"('', 'I')",2231
,
"('I', 'definitely')",9
,
"('definitely', 'recommend')",8
,
"('recommend', 'getting')",1
,
"('getting', 'this')",1
,
"('this', 'drink')",3
,
"('drink', '')",46
,
"('', 'It')",581
,
"('It', 'does')",3
,
"('does', 'not')",9
,
"('not', 'have')",11
,
"('have', 'any')",8
